id,status,band,coverage,fallback,size,gender,articleType
22322,ok,0.0,0.17,False,577x884,women,Tshirts
44587,ok,1.0,0.23,False,516x1178,men,Jeans
20227,ok,0.0,0.215,False,1019x1936,women,Sweaters
14197,ok,2.0,0.219,False,870x1751,women,Dresses
12532,ok,0.0,0.278,False,1588x2049,women,Jackets
19786,ok,0.0,0.216,False,1147x1642,men,Polo
18713,ok,2.0,0.156,False,731x1303,women,Skirts
10408,ok,0.0,0.208,False,1100x1546,women,Tops
11318,ok,1.0,0.223,False,922x1966,women,Jeans
19734,ok,0.0,0.277,False,1375x2124,women,Shirts
27424,ok,1.0,0.16,False,580x694,women,Shorts
48099,ok,1.0,0.206,False,490x1074,women,Trousers
57141,ok,1.0,0.169,False,473x1067,women,Trousers
21162,ok,0.0,0.276,False,1560x1755,women,Sweaters
10366,ok,2.0,0.231,False,1185x1369,women,Skirts
27426,ok,1.0,0.142,False,493x680,women,Shorts
9144,ok,1.0,0.246,False,966x2116,women,Jeans
10429,ok,0.0,0.171,False,462x830,women,Tops
13472,ok,2.0,0.149,False,720x1247,women,Dresses
13449,ok,0.0,0.229,False,1100x1734,women,Shirts
13947,ok,0.0,0.204,False,1014x1823,women,Tshirts
21591,ok,,0.408,True,1169x2374,women,Tshirts
9148,ok,1.0,0.242,False,1118x2144,women,Jeans
13956,ok,0.0,0.229,False,1063x1668,women,Tops
43656,ok,1.0,0.109,False,495x514,women,Shorts
18712,ok,2.0,0.156,False,762x1266,women,Skirts
18959,ok,0.0,0.237,False,1098x1370,women,Sweaters
32405,ok,1.0,0.209,False,510x1176,women,Trousers
18897,ok,2.0,0.258,False,996x1816,women,Dresses
19727,ok,0.0,0.307,False,1183x1798,women,Shirts
34492,ok,2.0,0.142,False,441x746,women,Skirts
27922,ok,1.0,0.227,False,487x1227,women,Trousers
10379,ok,0.0,0.228,False,1250x1489,women,Tshirts
50944,ok,1.0,0.176,False,467x1099,women,Jeans
13457,ok,0.0,0.3,False,1103x1754,women,Shirts
18896,ok,2.0,0.261,False,1021x1791,women,Dresses
20300,ok,0.0,0.255,False,1157x1699,women,Sweaters
14095,ok,0.0,0.3,False,1241x1739,women,Tops
43309,ok,1.0,0.097,False,545x491,women,Shorts
19736,ok,0.0,0.305,False,1520x2033,women,Shirts
50961,ok,1.0,0.183,False,521x1086,women,Jeans
10363,ok,0.0,0.266,False,1086x1589,women,Tops
24849,ok,0.0,0.214,False,1121x1818,women,Tshirts
13961,ok,0.0,0.336,False,1356x2248,women,Sweaters
57087,ok,2.0,0.089,False,614x549,women,Skirts
44664,ok,1.0,0.204,False,443x1181,women,Trousers
13470,ok,2.0,0.139,False,818x1175,women,Dresses
32587,ok,1.0,0.183,False,518x822,women,Shorts
18898,ok,0.0,0.179,False,1143x1235,women,Shirts
47658,ok,2.0,0.132,False,549x622,women,Skirts
9149,ok,1.0,0.261,False,1179x2153,women,Jeans
57216,ok,1.0,0.063,False,508x344,women,Shorts
32586,ok,1.0,0.292,False,647x1189,women,Trousers
16990,ok,0.0,0.305,False,1567x1784,women,Sweaters
14103,ok,0.0,0.186,False,960x1633,women,Tshirts
20637,ok,2.0,0.202,False,883x1787,women,Dresses
19636,ok,0.0,0.297,False,1164x1749,women,Tops
19624,ok,0.0,0.264,False,1471x1464,women,Tops
41153,ok,2.0,0.134,False,437x688,women,Skirts
10406,ok,2.0,0.119,False,701x1278,women,Dresses
57139,ok,1.0,0.21,False,544x1195,women,Trousers
20309,ok,0.0,0.208,False,1075x1380,women,Sweaters
13448,ok,0.0,0.237,False,1124x1821,women,Shirts
10343,ok,0.0,0.231,False,1158x1712,women,Tshirts
26985,ok,2.0,0.147,False,813x1077,women,Shorts
50947,ok,1.0,0.179,False,484x1050,women,Jeans
43310,ok,1.0,0.052,False,538x295,women,Shorts
20347,ok,0.0,0.351,False,1239x2208,women,Sweaters
9145,ok,1.0,0.178,False,1125x2001,women,Jeans
32407,ok,1.0,0.211,False,776x2032,women,Trousers
19577,ok,0.0,0.143,False,843x1436,women,Tops
26364,ok,2.0,0.146,False,727x1250,women,Skirts
59996,ok,2.0,0.223,False,582x1044,women,Dresses
13450,ok,0.0,0.241,False,1115x1661,women,Shirts
11784,ok,0.0,0.235,False,644x843,women,Tshirts
48084,ok,2.0,0.232,False,622x680,women,Dresses
19670,ok,0.0,0.183,False,1037x1683,women,Tshirts
13458,ok,0.0,0.261,False,1203x2323,women,Shirts
57082,ok,2.0,0.105,False,470x544,women,Skirts
13521,ok,0.0,0.183,False,1046x1561,women,Tops
50942,ok,1.0,0.22,False,528x1174,women,Jeans
22321,ok,0.0,0.175,False,967x1558,women,Tshirts
58489,ok,2.0,0.128,False,568x620,women,Dresses
11338,ok,0.0,0.194,False,1032x1823,women,Tops
50963,ok,1.0,0.179,False,547x1103,women,Jeans
40428,ok,1.0,0.032,False,660x596,women,Skirts
19726,ok,0.0,0.338,False,1185x2373,women,Shirts
19555,ok,0.0,0.243,False,1180x2061,women,Tshirts
42209,ok,2.0,0.228,False,597x1006,women,Dresses
50956,ok,1.0,0.185,False,489x1118,women,Jeans
11758,ok,0.0,0.222,False,993x1677,women,Tops
10414,ok,0.0,0.212,False,1105x1492,women,Tshirts
9150,ok,1.0,0.204,False,519x1158,women,Jeans
13442,ok,0.0,0.141,False,864x1471,women,Tops
41571,ok,2.0,0.194,False,500x1033,women,Dresses
14074,ok,0.0,0.21,False,1103x1508,women,Tshirts
57057,ok,2.0,0.182,False,568x652,women,Dresses
11037,ok,,0.436,True,1539x2386,women,Tops
15373,ok,0.0,0.299,False,1185x1646,women,Tops
11750,ok,0.0,0.194,False,1133x1742,women,Tshirts
43634,ok,2.0,0.233,False,551x641,women,Dresses
19788,ok,0.0,0.223,False,1131x1851,men,Polo
18520,ok,0.0,0.435,False,1771x1417,women,Jackets
52484,ok,,0.584,True,1080x1414,women,Camisoles
52485,ok,,0.522,True,1080x1415,women,Camisoles
20208,ok,0.0,0.106,False,410x610,women,Jackets
27496,ok,,0.31,True,726x1049,women,Camisoles
18957,ok,0.0,0.255,False,1204x1911,women,Jackets
18524,ok,0.0,0.466,False,1750x1532,women,Jackets
12533,ok,0.0,0.314,False,1489x1836,women,Jackets
19330,ok,0.0,0.308,False,1302x2373,women,Jackets
20033,ok,0.0,0.239,False,1206x1521,women,Shirts
19856,ok,0.0,0.343,False,1372x1651,men,Jackets
11341,ok,1.0,0.249,False,519x1216,men,Jeans
19110,ok,0.0,0.395,False,1800x1335,men,Tshirts
19790,ok,0.0,0.231,False,1206x1477,men,Polo
17154,ok,0.0,0.331,False,1349x1864,men,Jackets
19107,ok,0.0,0.325,False,1472x1324,men,Tshirts
19787,ok,0.0,0.227,False,1147x1508,men,Polo
52516,ok,0.0,0.121,False,714x864,women,Camisoles
19115,ok,0.0,0.49,False,1800x1732,men,Tshirts
50190,ok,0.0,0.132,False,550x667,women,Camisoles
19112,ok,0.0,0.48,False,1800x1620,men,Tshirts
27471,ok,0.0,0.217,False,663x924,women,Camisoles
21433,ok,1.0,0.084,False,823x682,women,Shorts
17515,ok,0.0,0.27,False,1166x1720,women,Sweaters
52465,ok,0.0,0.153,False,701x691,women,Camisoles
43916,ok,1.0,0.073,False,544x364,women,Shorts
22314,ok,0.0,0.203,False,1037x1577,women,Jackets
23047,ok,0.0,0.267,False,1129x1683,women,Sweaters
20307,ok,,0.428,True,1336x2371,women,Sweaters
34494,ok,2.0,0.142,False,547x714,women,Skirts
58491,ok,1.0,0.161,False,499x728,women,Shorts
19342,ok,0.0,0.261,False,1183x2046,women,Jackets
20298,ok,0.0,0.246,False,1403x1458,women,Sweaters
19728,ok,0.0,0.312,False,1483x1861,women,Shirts
25930,ok,2.0,0.109,False,447x559,women,Skirts
18961,ok,0.0,0.293,False,1189x2311,women,Jackets
9142,ok,1.0,0.233,False,1111x2073,women,Jeans
27890,ok,0.0,0.194,False,916x725,women,Shirts
19331,ok,0.0,0.289,False,1402x2189,women,Jackets
49654,ok,2.0,0.236,False,926x725,women,Skirts
33543,ok,0.0,0.198,False,1100x1711,women,Shirts
35958,ok,2.0,0.146,False,530x678,women,Skirts
9146,ok,1.0,0.231,False,882x2063,women,Jeans
20377,ok,0.0,0.317,False,1339x2071,women,Jackets
48471,ok,2.0,0.203,False,582x1023,women,Dresses
19556,ok,0.0,0.228,False,1218x1708,women,Tshirts
19681,ok,0.0,0.339,False,1473x2370,women,Tops
40432,ok,2.0,0.1,False,761x937,women,Skirts
39224,ok,,0.417,True,1389x2382,women,Shirts
19332,ok,0.0,0.198,False,939x1936,women,Jackets
19607,ok,0.0,0.259,False,1420x1652,women,Tops
46121,ok,0.0,0.327,False,834x1077,women,Jackets
12346,ok,0.0,0.218,False,560x1077,women,Tshirts
59986,ok,2.0,0.222,False,568x1068,women,Dresses
10374,ok,0.0,0.218,False,1134x1652,women,Tshirts
35990,ok,2.0,0.214,False,912x1583,women,Dresses
13946,ok,0.0,0.23,False,1072x1732,women,Tops
47651,ok,2.0,0.215,False,535x1044,women,Dresses
11785,ok,0.0,0.16,False,593x762,women,Tshirts
19666,ok,,0.434,True,1447x2369,women,Tops
19988,ok,0.0,0.281,False,1091x1630,women,Tops
19669,ok,0.0,0.187,False,1091x1424,women,Tshirts
48470,ok,2.0,0.246,False,694x1016,women,Dresses
43658,ok,2.0,0.067,False,449x373,women,Dresses
19557,ok,0.0,0.226,False,1096x1539,women,Tshirts
54976,ok,2.0,0.236,False,613x999,women,Dresses
57988,ok,2.0,0.195,False,514x1092,women,Dresses
49633,ok,2.0,0.219,False,659x1055,women,Dresses
48481,ok,2.0,0.19,False,469x1008,women,Dresses
19855,ok,0.0,0.314,False,1307x1596,men,Jackets
22312,ok,0.0,0.325,False,1297x1907,men,Jackets
19807,ok,0.0,0.23,False,1169x1627,men,Polo
19784,ok,0.0,0.219,False,1145x1524,men,Polo
8200,ok,0.0,0.245,False,1183x1479,men,Tshirts
20958,ok,0.0,0.329,False,1274x1627,men,Tshirts
13468,ok,0.0,0.236,False,1218x1461,men,Tshirts
27498,ok,0.0,0.281,False,663x891,women,Camisoles
19161,ok,0.0,0.3,False,1302x1573,men,Tshirts
52470,ok,0.0,0.109,False,654x676,women,Camisoles
32589,ok,1.0,0.127,False,592x512,women,Shorts
15048,ok,0.0,0.244,False,1122x1392,women,Sweaters
20346,ok,0.0,0.313,False,1228x1648,women,Sweaters
57091,ok,2.0,0.103,False,552x601,women,Skirts
44656,ok,0.0,0.315,False,846x1103,women,Shirts
32394,ok,0.0,0.31,False,1178x1736,women,Shirts
25931,ok,2.0,0.139,False,796x1073,women,Skirts
57068,ok,0.0,0.163,False,871x567,women,Jackets
31317,ok,0.0,0.051,False,279x749,women,Jackets
37930,ok,2.0,0.107,False,907x777,women,Skirts
33965,ok,0.0,0.248,False,1091x1770,women,Shirts
57069,ok,0.0,0.088,False,406x644,women,Jackets
57092,ok,2.0,0.204,False,918x697,women,Skirts
19616,ok,0.0,0.19,False,1091x1768,women,Tops
19612,ok,0.0,0.195,False,1152x1652,women,Tshirts
14120,ok,0.0,0.222,False,1077x1817,women,Tops
19591,ok,0.0,0.241,False,1035x1538,women,Tops
19617,ok,0.0,0.249,False,1147x1486,women,Tops
52155,ok,2.0,0.214,False,570x961,women,Dresses
57049,ok,2.0,0.223,False,518x1083,women,Dresses
57999,ok,2.0,0.176,False,581x1061,women,Dresses
44682,ok,2.0,0.232,False,630x1005,women,Dresses
48085,ok,2.0,0.174,False,410x858,women,Dresses
25908,ok,2.0,0.193,False,490x1035,women,Dresses
54990,ok,2.0,0.148,False,346x1059,women,Dresses
39235,ok,2.0,0.192,False,888x1633,women,Dresses
22323,ok,0.0,0.324,False,1314x2373,men,Jackets
19791,ok,0.0,0.231,False,1173x1513,men,Polo
19789,ok,0.0,0.244,False,1218x1545,men,Polo
27497,ok,0.0,0.265,False,685x912,women,Camisoles
11730,ok,0.0,0.249,False,1180x1780,men,Tshirts
21134,ok,0.0,0.273,False,1042x1839,women,Sweaters
59892,ok,0.0,0.217,False,624x930,women,Shirts
40434,ok,2.0,0.095,False,688x975,women,Skirts
29273,ok,0.0,0.242,False,1084x1576,women,Shirts
57063,ok,0.0,0.247,False,761x862,women,Jackets
57062,ok,0.0,0.255,False,683x936,women,Jackets
57090,ok,2.0,0.224,False,660x975,women,Skirts
19637,ok,,0.389,True,1117x2372,women,Tops
58504,ok,2.0,0.184,False,566x668,women,Dresses
43633,ok,2.0,0.22,False,563x1038,women,Dresses
58003,ok,2.0,0.134,False,542x906,women,Dresses
43513,ok,2.0,0.212,False,507x1079,women,Dresses
18522,ok,0.0,0.331,False,1551x1604,men,Jackets
19785,ok,0.0,0.23,False,1178x1565,men,Polo
20000,ok,0.0,0.318,False,1316x1764,men,Tshirts
52491,ok,0.0,0.115,False,499x727,women,Camisoles
13520,ok,0.0,0.224,False,1128x1667,women,Sweaters
59894,ok,0.0,0.241,False,661x898,women,Shirts
57064,ok,0.0,0.186,False,364x953,women,Jackets
57084,ok,2.0,0.121,False,446x605,women,Skirts
57089,ok,1.0,0.079,False,358x482,women,Skirts
57066,ok,0.0,0.208,False,942x636,women,Jackets
21158,ok,,0.389,True,1161x2371,women,Tops
39227,ok,2.0,0.171,False,918x1603,women,Dresses
34588,ok,2.0,0.2,False,471x984,women,Dresses
25972,ok,2.0,0.215,False,556x1020,women,Dresses
17628,ok,0.0,0.338,False,1346x1932,men,Jackets
14078,ok,0.0,0.262,False,1206x1614,men,Polo
50191,ok,0.0,0.124,False,506x685,women,Camisoles
19643,ok,0.0,0.043,False,369x1101,women,Sweaters
57067,ok,0.0,0.171,False,799x662,women,Jackets
21115,ok,0.0,0.27,False,1457x1807,women,Tops
57046,ok,2.0,0.214,False,484x1053,women,Dresses
15168,ok,0.0,0.244,False,1227x1580,men,Polo
14582,ok,0.0,0.257,False,1032x2367,women,Sweaters
13456,ok,0.0,0.134,False,871x1171,women,Tops
17259,ok,0.0,0.213,False,1129x1445,men,Polo
21135,ok,0.0,0.224,False,1054x1642,women,Sweaters
32585,ok,1.0,0.292,False,515x1251,women,Trousers
27919,ok,1.0,0.205,False,766x1997,women,Trousers
41162,ok,1.0,0.182,False,478x1086,women,Trousers
51610,ok,1.0,0.192,False,481x1135,women,Trousers
43224,ok,1.0,0.159,False,413x1047,women,Trousers
34504,ok,1.0,0.239,False,473x1273,women,Trousers
